epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.647,1.42961,1.21497,1.08201,0.95336,0.96068,0.97665,0.70586,0.98021,inf,0.91196,0.000554645,0.000554645,0.000554645
2,279.994,0.98489,0.6118,0.91755,0.95037,0.96897,0.98275,0.79382,0.73574,50.7077,0.84945,0.00108833,0.00108833,0.00108833
3,410.555,0.86154,0.53327,0.88784,0.93013,0.95714,0.98867,0.80318,0.70454,54.9013,0.84511,0.00160001,0.00160001,0.00160001
4,538.487,0.78526,0.48614,0.87,0.97282,0.97361,0.99174,0.86063,0.56394,26.112,0.81244,0.00156798,0.00156798,0.00156798
5,672.268,0.73372,0.45834,0.85748,0.97672,0.97702,0.99153,0.86813,0.55206,21.1208,0.80704,0.00153497,0.00153497,0.00153497
6,800.677,0.68939,0.42992,0.84936,0.95636,0.96789,0.99229,0.86773,0.55525,17.8658,0.80932,0.00150197,0.00150197,0.00150197
7,927.637,0.66554,0.41309,0.8448,0.98053,0.97349,0.98917,0.88819,0.48957,inf,0.79356,0.00146896,0.00146896,0.00146896
8,1060.71,0.62918,0.39335,0.83759,0.98316,0.98057,0.99297,0.88985,0.49155,1.98601,0.79478,0.00143595,0.00143595,0.00143595
9,1186.58,0.61201,0.38535,0.83453,0.98992,0.98907,0.99402,0.90123,0.45576,12.2828,0.78775,0.00140295,0.00140295,0.00140295
10,1314.37,0.60115,0.36967,0.83162,0.98937,0.99045,0.99365,0.90632,0.44895,1.91154,0.78688,0.00136994,0.00136994,0.00136994
11,1453.31,0.57759,0.36043,0.82784,0.98463,0.98488,0.99268,0.91617,0.41841,2.18129,0.77948,0.00133693,0.00133693,0.00133693
12,1580.5,0.56521,0.35123,0.82558,0.99477,0.99504,0.99427,0.91225,0.43706,4.79214,0.78282,0.00130393,0.00130393,0.00130393
13,1706.98,0.55608,0.34246,0.8242,0.99461,0.99267,0.99433,0.92478,0.40909,4.03923,0.77942,0.00127092,0.00127092,0.00127092
14,1832.97,0.54039,0.33481,0.82196,0.99471,0.99495,0.99443,0.93059,0.3798,1.48185,0.77193,0.00123791,0.00123791,0.00123791
15,1958.5,0.53664,0.33117,0.82098,0.99724,0.99739,0.99452,0.93474,0.38041,0.81891,0.7728,0.00120491,0.00120491,0.00120491
16,2083.61,0.52557,0.32387,0.81951,0.99324,0.99413,0.99415,0.93856,0.36552,1.65683,0.76952,0.0011719,0.0011719,0.0011719
17,2209.99,0.51285,0.31438,0.8172,0.9974,0.99792,0.99455,0.93775,0.35644,4.2385,0.76761,0.00113889,0.00113889,0.00113889
18,2359.58,0.50613,0.31471,0.81629,0.99639,0.99638,0.99443,0.94308,0.35048,1.83558,0.76748,0.00110589,0.00110589,0.00110589
19,2485.62,0.49957,0.31035,0.81562,0.9968,0.99725,0.99425,0.94357,0.34806,8.59822,0.76677,0.00107288,0.00107288,0.00107288
20,2615.47,0.49402,0.30561,0.81389,0.99746,0.99769,0.99445,0.94373,0.34673,3.92127,0.76666,0.00103987,0.00103987,0.00103987
21,2741.13,0.479,0.2967,0.81174,0.99754,0.99784,0.99453,0.94798,0.3481,3.45009,0.76905,0.00100687,0.00100687,0.00100687
22,2867.37,0.47496,0.29426,0.8111,0.99731,0.99721,0.99449,0.95476,0.31764,1.58201,0.76237,0.000973861,0.000973861,0.000973861
23,2993.37,0.47119,0.29203,0.81023,0.99785,0.99794,0.99447,0.95078,0.32657,0.39859,0.76285,0.000940855,0.000940855,0.000940855
24,3121.77,0.4601,0.28561,0.80832,0.99782,0.99805,0.99456,0.95586,0.31591,1.45798,0.76195,0.000907848,0.000907848,0.000907848
25,3248.78,0.45807,0.2836,0.8084,0.99777,0.99782,0.99457,0.95723,0.31087,1.41423,0.75995,0.000874842,0.000874842,0.000874842
